original_label;group_pft;group_ord;group_fam
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Hexapoda_Insecta;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chaetognatha;Chaetognatha;Chaetognatha;Chaetognatha
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chaetognatha_head;Chaetognatha;Chaetognatha;Chaetognatha
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chaetognatha_tail;Chaetognatha;Chaetognatha;Chaetognatha
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Craniata_Vertebrata_Gnathostomata_Actinopterygii;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Craniata_Vertebrata_Gnathostomata_Actinopterygii_egg;other_large;other_large;other_large
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Craniata_Vertebrata_Gnathostomata_Actinopterygii_scale;detritus;detritus;detritus
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Appendicularia_Fritillariidae;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Appendicularia_Oikopleuridae;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Appendicularia_head;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Appendicularia_tail;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Thaliacea_Doliolida;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Thaliacea_Pyrosomatida;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Thaliacea_Salpida;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Thaliacea_Salpida_Iasis;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Thaliacea_Salpida_Salpidae_endostyle;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Thaliacea_Salpida_Salpidae_nucleus;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Thaliacea_Salpida_colony;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Chordata_Tunicata_Thaliacea_part;Tunicata;Tunicata;Tunicata
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria;Cnidaria;Cnidaria;Cnidaria
