17.714,1.7143,1.1429,230.29,4.5714,0.57143,20.571,26.857,2.2857,13.143,4,0,6.8571,88.571,57.714,4.5714,0.57143,0,12.571,1.1429,49.143,344,0,30.857,16,68,9.7143,5.7143,15.429,16,11.429,14.286,64.571
0.9,0,0,3.5,0,0,0.1,0.9,0,0,0,0,0,0.4,9.1,0,0,0,0.1,0,0.1,363.7,0,1.8,0,5.1,0.1,0,4.8,9.3,7.3,11.8,2.6
21.913,1.0435,2.4348,275.83,6.6087,1.3913,32.348,41.739,7.6522,12.87,0.34783,1.0435,9.3913,62.609,170.78,4.8696,0.34783,0,8.6957,1.3913,24.696,586.09,0,5.5652,6.6087,75.13,6.9565,4.1739,10.435,42.435,16,8,200.7
11.598,1.0582,2.836,185.31,6.3492,0,5.7143,83.852,4.7831,10.709,1.3545,0.50794,2.1587,29.757,79.492,4.4021,0.084656,0.71958,4.7407,3.5556,16,194.79,0,9.1429,3.0899,19.64,2.963,3.8095,2.8783,14.095,5.5873,2.7937,45.164
0.92169,0.054217,0.28916,17.88,0.19277,0,1.2349,2.3675,0.18072,0.11446,0.048193,0,0.29518,2.6386,3.4398,0.1988,0,0.024096,0.11446,0.24699,1.7108,32.614,0,0.53012,0.33133,8.0843,2.4398,0.54217,0.37349,2.1627,1.2108,0.3494,1.6566
12.947,0.42105,1.6842,113.61,3.7544,0.2807,13.158,27.088,1.0175,0.94737,1.1579,0.63158,1.6842,26.807,20.526,7.5789,0,0,0.84211,1.4737,13.789,98.632,0,11.333,1.7895,6.3158,4.807,1.0175,3.9649,8.1754,8,2.5263,6.5614
6.2595,0.45802,0.26718,87.405,1.2977,0.19084,8.8931,22.634,0.19084,1.2977,0.49618,0.64885,0.45802,16.947,29.962,5.3817,0,0,0.49618,0,11.679,86.069,0.15267,1.2214,1.7557,9.9237,2.1756,1.0305,3.0534,7.2137,5.8015,25.42,7.2901
11.186,1.0169,6.7797,272.88,17.966,0,37.288,58.983,2.3729,3.0508,14.915,0.67797,4.0678,66.102,99.322,4.0678,0.67797,0,3.0508,1.3559,45.763,530.17,0,8.1356,16.271,51.186,4.4068,3.0508,12.203,28.814,26.78,12.881,22.034
13.926,0.2963,2.963,305.48,5.3333,0.2963,88.889,38.815,12.148,2.6667,2.963,0,5.037,63.111,88.889,9.7778,0.88889,2.6667,1.7778,0.59259,17.778,221.63,0,5.9259,6.5185,46.519,7.7037,3.8519,9.1852,34.667,21.037,40.593,23.704
16.842,0,0.5614,140.63,0.80702,0,13.088,20.246,1.8947,0.10526,7.8947,0.035088,7.2982,36.596,25.404,6.1754,0.5614,0.14035,1.3684,0,22.211,222.88,0,5.614,11.439,17.333,4.9825,3.4035,9.0877,20.632,12.526,12.596,11.86
4.9302,0,0.74419,99.907,1.7674,0.18605,9.3953,12.93,10.233,1.4884,3.814,0.27907,4.186,41.116,25.209,3.0698,0.093023,1.6744,0.93023,0.55814,17.209,128,0,5.0233,3.0698,15.256,3.3488,2.2326,6.7907,13.86,4.5581,14.698,18.326
18.953,0,1.288,194.3,0.020942,0,15.487,1.0366,0.10471,0.36649,1.3403,0,0.67016,38.157,2.0105,0.33508,0,0.010471,0.37696,0,1.9162,169.72,0,0.33508,1.2147,1.5183,1.2147,0.84817,8.9738,6.6702,1.0681,0.073298,0.6911
