15,39.782,13.675,0.040079,0.0011082,0.018007,0.078922,52,28,51,39,35,474,NaN,20.144,14.936,37.972,37.984,0.5283,1.0443,246.08,271.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,37.424,15.425,0.044578,0.0015898,0.019562,0.086744,47,33,58,43,33,167,NaN,20.65,15.294,38.311,38.587,0.091213,0.24256,210.37,216.83,NaN,NaN,0.0753,0.0161,0.94,NaN,15.257,46.968,38.442,28.573,217.76,NaN,0.15011,6e-05,0.000554,1.7558,0.061871,23.156,0.016565,0.02835,0.037,0.6661,20.859,52.673,38.145,26.929,208.73,NaN,0.11467,0.000132,0.00105,1.1833,0.093002,15.317,0,365,0.64,648
17,36.235,14.265,0.037673,0.00092382,0.015144,0.074452,57,27,99,63,64,203,NaN,20.977,16.609,37.884,38.252,0.065276,0.17349,213.62,222.05,NaN,NaN,NaN,NaN,NaN,NaN,16.607,47.919,37.989,27.927,231.14,NaN,0.10127,2.2e-05,0.000284,1.565,0.041238,150.16,NaN,NaN,NaN,NaN,21.099,52.423,37.727,26.545,213.24,NaN,0.015438,4.8e-05,0.000468,1.19,0.071474,19.437,0,365,0.73,649
18,35.655,14.229,0.035419,0.00086303,0.014726,0.077287,52,31,82,60,58,580,NaN,21.486,16.93,38.076,38.222,0.066985,0.1733,209.01,231.57,NaN,NaN,NaN,NaN,NaN,NaN,17.146,48.558,38.055,27.823,231.33,NaN,0.10292,4.9e-05,0.000469,1.4575,0.046912,6.8348,0.01833,0.0256,0.118,0.5571,21.487,53.056,37.896,26.565,208.25,NaN,0.013344,4.6e-05,0.000449,1.0919,0.062286,14.935,0,365,1,641
20,34.392,14.8,0.033291,0.00099742,0.011165,0.067138,61,63,93,73,69,13,NaN,21.477,16.851,38.607,38.353,0.149,0.72554,237.74,271.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400.47,NaN,NaN,NaN,NaN,21.521,53.72,38.4,26.941,223.28,NaN,0.03716,NaN,NaN,NaN,NaN,18.414,0,365,0.2,627
21,37.459,17.238,0.042875,0.0011017,0.019006,0.092094,43,50,75,61,56,831,NaN,19.535,15.798,38.434,38.339,0.11444,0.20089,211.01,216.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.896,0.003575,0.006225,0.131,0.8355,19.467,51.272,38.248,27.383,211.6,NaN,0.10136,0.000103,0.000769,1.3275,0.089498,12.946,0,365,0.02,610
22,39.753,17.37,0.060868,0.0015308,0.045908,0.12357,31,12,35,64,17,199,NaN,17.239,16.375,38.012,38.052,0.24256,0.2726,222.76,220.05,NaN,NaN,0.1298,0.01065,0.2935,NaN,15.385,46.942,38.296,28.429,219.24,NaN,0.082358,0.000214,0.001531,1.8452,0.072689,2.6148,0.070975,0.0133,0.23125,1.9913,17.299,48.452,37.84,27.623,221.55,NaN,0.15559,0.000344,0.002433,1.7046,0.16813,9.9028,0,365,0,598
23,42.176,17.644,NaN,NaN,NaN,0.10722,33,16,41,45,35,194,NaN,16.884,15.992,38.38,38.52,0.12856,0.19743,222.58,225.66,NaN,NaN,0.013,0.012,0.05,1.0505,15.455,47.157,38.429,28.516,225.85,NaN,0.147,0.00015,0.001091,1.725,0.069951,1.9212,0.009125,0.012,0.040875,1.3724,17.212,48.793,38.228,27.943,221.78,NaN,0.10393,0.000196,0.001405,1.465,0.10623,7.8062,0,365,0.03,582
24,42.412,17.863,0.065746,0.003062,0.050458,0.1281,28,10,36,47,31,178,NaN,17.793,16.148,38.33,38.299,0.14739,0.18775,220.09,230.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.301,NaN,NaN,NaN,NaN,18.478,50.028,38.101,27.522,217.33,NaN,0.10594,0.000271,0.001873,1.465,0.14291,7.9219,0,365,0.2,575
25,39.35,19.352,0.046502,0.00076994,0.0324,0.10064,37,32,52,42,36,172,NaN,18.194,14.961,38.359,38.689,0.12783,0.18188,217.85,227.51,NaN,NaN,0.1055,NaN,0.3595,1.354,15.182,46.931,38.489,28.626,229.91,NaN,0.13403,8.2e-05,0.000561,1.845,0.059185,2.3494,0.00425,0.00525,0.03525,1.0505,18.319,49.947,38.185,27.634,217.81,NaN,0.1048,0.000103,0.000711,1.465,0.086187,10.151,0,365,0.37,587
