'all copepoda'
'chaetognatha'
'crust decapod'
'detritus'
'diatoms'
'dinoflagelates'
'gelatinous carnivorous'
'filter feeders'
'other large'
'other small'
'protista'
'pteropoda'
'omnivorous zoo'
