5.9429,325.83,43.429,0.11429,56.571,4.5714,124.46,0,1.0286,0.8,18.743,2.7429,0.57143,3.0857,10.743,4.6857,2.0571,25.829
11.429,382.93,60.952,1.219,70.4,8.6857,106.82,0,5.4857,5.9429,5.181,3.6571,1.219,1.219,11.124,0.7619,10.362,18.895
8.0762,139.12,70.933,0,36.952,9.7143,106.32,0,1.2571,2.5905,26.057,2.2476,0.99048,1.219,10.362,2.4762,8,8.5714
11.529,623.37,154.08,0.039216,151.92,20.275,166.71,0,17.569,10.902,42.196,0.23529,1.5686,5.0196,21.059,1.2549,3.8431,25.255
17.36,133.64,22.4,0,71.84,5.04,175.72,0,4.48,0.72,9.64,1.48,1.36,0.84,11.2,12.28,11.08,2.56
67.68,728.32,63.2,0,78.08,12.64,1600.3,0,54.24,7.84,26.72,4.64,1.76,8,20.48,16.32,26.72,25.92
53.222,282.41,59.889,1.7778,32.111,16.963,161.11,0,3.5556,2.2593,14.593,1.5556,2.8148,7.4074,4.037,5.6667,1.4815,19.296
10.833,130.87,29.4,0.53333,8.1333,3.7667,197.7,0,0.53333,1.9333,12.1,0.033333,1.1,2.2,3.3333,1.6,1.0667,6.4333
5.931,78.345,23.552,0,6.1034,2.2414,68.931,0,0.62069,0.93103,3.9655,0.27586,0.24138,0.55172,6.5862,1.8966,1.7241,7.069
4.8923,210.52,33.569,0.52308,17.262,3.3846,196.25,0,3.0462,1.3846,20.677,0.83077,0.43077,1.0769,4.9846,3.6308,4.3077,21.785
39.843,696.16,73.725,0.94118,82.824,18.196,413.49,0,12.235,5.6471,20.078,5.6471,7.5294,3.451,58.98,10.353,17.882,52.078
9.5273,146.84,36.727,0.58182,21.964,3.4182,139.42,0,4.7273,7.4182,5.8909,0.21818,2.1091,4.6545,13.164,4.0727,11.709,11.2
2.4103,39.615,11.41,0.25641,16.795,2.3077,29.949,0,1.4359,0.79487,5,0.12821,0.38462,1.5128,2.8718,3.2821,0.25641,2.5897
4.8671,40.895,18.517,0.5035,15.776,5.3147,44.028,0,0.55944,1.7343,4.7552,0.55944,1.3986,2.9091,5.2587,1.007,0.72727,3.7483
4.9645,62.983,10.108,0,12.202,2.1533,27.335,0,0.23925,0.95701,8.4336,0.77757,0.4785,1.0766,6.4,2.9907,1.1963,1.7944
7.0545,41.164,30.618,0,25.964,4.5091,139.93,0,1.4545,0.87273,24.945,1.2364,1.3818,3.8545,7.1273,1.1636,3.6364,4
23.333,378,53.333,13.333,370.67,20,1085.3,0,6,11.333,39.333,9.3333,10,15.333,49.333,14,37.333,73.333
25.6,341.12,98.56,4.48,246.4,19.2,490.24,0.64,13.44,12.16,48,1.92,3.84,17.92,69.76,3.84,1.28,94.08
30.255,324.07,86.691,7.5636,373.53,6.4,531.2,0.58182,11.055,16.873,59.927,4.6545,8.1455,10.473,58.182,6.9818,20.364,41.891
12.488,531.51,57.756,4.6829,352,15.61,400.39,0,8.5854,3.122,81.951,4.6829,6.2439,8.5854,32,5.4634,13.268,99.902
16,291.84,59.52,1.28,154.24,25.6,307.2,0,17.92,13.44,67.84,1.92,3.2,4.48,28.8,7.04,14.72,84.48
20.571,284.57,88.571,4,97.143,49.143,344,0,30.857,16,68,9.7143,5.7143,15.429,16,11.429,14.286,64.571
0.1,4.4,0.4,0,10.1,0.1,363.7,0,1.8,0,5.1,0.1,0,4.8,9.3,7.3,11.8,2.6
32.348,346.78,62.609,0.34783,221.22,24.696,586.09,0,5.5652,6.6087,75.13,6.9565,4.1739,10.435,42.435,16,8,200.7
5.7143,234.07,29.757,1.3545,168.08,16,194.79,0,9.1429,3.0899,19.64,2.963,3.8095,2.8783,14.095,5.5873,2.7937,45.164
1.2349,20.398,2.6386,0.048193,5.9217,1.7108,32.614,0,0.53012,0.33133,8.0843,2.4398,0.54217,0.37349,2.1627,1.2108,0.3494,1.6566
13.158,146.04,26.807,1.1579,48.456,13.789,98.632,0,11.333,1.7895,6.3158,4.807,1.0175,3.9649,8.1754,8,2.5263,6.5614
8.8931,103.85,16.947,0.49618,53.092,11.679,86.069,0.15267,1.2214,1.7557,9.9237,2.1756,1.0305,3.0534,7.2137,5.8015,25.42,7.2901
37.288,326.1,66.102,14.915,161.36,45.763,530.17,0,8.1356,16.271,51.186,4.4068,3.0508,12.203,28.814,26.78,12.881,22.034
88.889,362.07,63.111,2.963,129.48,17.778,221.63,0,5.9259,6.5185,46.519,7.7037,3.8519,9.1852,34.667,21.037,40.593,23.704
13.088,175.05,36.596,7.8947,47.018,22.211,222.88,0,5.614,11.439,17.333,4.9825,3.4035,9.0877,20.632,12.526,12.596,11.86
9.3953,129.12,41.116,3.814,39.07,17.209,128,0,5.0233,3.0698,15.256,3.3488,2.2326,6.7907,13.86,4.5581,14.698,18.326
15.487,216.05,38.157,1.3403,3.4241,1.9162,169.72,0,0.33508,1.2147,1.5183,1.2147,0.84817,8.9738,6.6702,1.0681,0.073298,0.6911
1485.2,1525.1,676.54,0,0.19753,4.9383,744.49,0,0,0.19753,0,104.49,0.79012,13.432,38.914,31.802,0.19753,0.59259
20.19,117.9,49.238,0,4.381,9.7143,79.714,0.095238,0.095238,3.7143,11.905,1.0476,0.095238,6.381,7.1429,0.66667,2.2857,2.8571
48.422,197.31,69.133,0.35556,28.644,10.289,71.667,0,1.7778,2.7333,5.8667,2.9556,0.066667,2.8667,2.8222,3.9333,31.667,8.8
16.583,246.46,61.125,0,86.167,9.6667,143.62,0,6,2.4167,19.917,4.375,1.25,4,15.25,9.2083,35.25,2.6667
