'Stations'
'Latitude'
'Longitude'
'Kd490'
'bbp470'
'acCDOM'
'Kd_PAR_'
'Zeu'
'MLD'
'Depth_chl_max'
'Depth_max_Brunt_V_freq'
'Depth_max_O2'
'Depth_min_O2'
'Depth_nitracline'
'Temp_10m'
'Temp_DCM'
'Sal_10m'
'Sal_DCM'
'Chl_a_10m'
'Chl_a_DCM'
'O2_10m'
'O2_DCM'
'NO3_10m'
'NO3_DCM'
'NO2_DCM'
'Phosphate_DCM'
'NO3_NO2_DCM'
'Si_DCM'
'T_DCM'
'Cond_DCM'
'Sal_DCM_1'
'Sigma_theta_DCM'
'O2_DCM_1'
'NO3_DCM_1'
'Chl_a_DCM_1'
'beta470_DCM'
'bb470_DCM'
'fCDOM_DCM'
'bac660_DCM'
'Distance__km_'
'NO2_sur'
'Phosphate_sur'
'NO3_NO2_sur'
'Si_sur'
'T_sur'
'Cond_sur'
'Sal_sur'
'Sigma_theta_sur'
'O2_sur'
'NO3_sur'
'Chl_a_sur'
'beta470_sur'
'bb470_sur'
'fCDOM_sur'
'bac660_sur'
'PAR'
'Sea_ice_concentration'
'Sea_Ice_free_period'
'Moon_phase'
'Sunshine_duration'
