"net"	"Station"	"Latitude"	"Longitude"	"ESD_Zooplankton"	"ESD_Copepoda"	"ESD_Chaetognatha"	"ESD_Gel_carn"	"ESD_Gel_FF"	"ESD_Crust"	"ESD_Pteropoda"	"ESD_Rhizaria"	"ESD_Small_grazers"	"ESD_Copepoda_unid"	"ESD_Calanoida"	"ESD_Cyclopoida"	"ESD_Harpacticoida"	"ESD_Poecilostomatoida"	"ESD_Acartiidae"	"ESD_Augaptilidae"	"ESD_Calanidae"	"ESD_Calanoida_unidentified"	"ESD_Candaciidae"	"ESD_Centropagidae"	"ESD_Corycaeidae"	"ESD_Eucalanidae"	"ESD_Euchaetidae"	"ESD_Harpacticoida.1"	"ESD_Heterorhabdidae"	"ESD_Metridinidae"	"ESD_Oithonidae"	"ESD_Oncaeidae"	"ESD_Paracalanidae"	"ESD_Pontellidae"	"ESD_Rhincalanidae"	"ESD_Sapphirinidae"	"ESD_Temoridae"	"ESD_Aetideidae"	"ESD_Arietellidae"	"ESD_Copepoda_unidentified"	"ESD_Lubbockiidae"	"ESD_Monstrilloida"	"Temperature"	"O2"	"Salinity"	"PAR"	"MLD"	"Chla"	"bbp470"	"Micro"	"Nano"	"Pico"	"PAR2"	"Flux200"	"NO2NO3"	"SiO2"	"PO4"	"PC1"	"PC2"
"1"	"wp2"	15	44.4013	-9.8273	6.08645193890153	6.08645193890153	7.24169723983477	7.41498403497476	5.91316514376154	6.14421420394819	5.85540287871488	6.25973873404151	6.14421420394819	6.37526326413484	6.20197646899485	5.9709274088082	6.02868967385486	6.02868967385486	6.20197646899485	NA	7.12617270974144	6.20197646899485	6.08645193890153	NA	6.02868967385486	6.4330255291815	7.29945950488143	6.02868967385486	6.77959911946147	6.08645193890153	5.9709274088082	6.02868967385486	6.31750099908817	NA	NA	6.31750099908817	6.14421420394819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.126958	NA	0.635579894761427	1.02457448131624	0.361648815426562	NA	NA
"2"	"wp2"	16	37.424	15.425	6.02868967385486	6.02868967385486	6.77959911946147	6.4330255291815	5.91316514376154	6.89512364955479	6.31750099908817	5.91316514376154	6.14421420394819	6.4330255291815	6.08645193890153	5.91316514376154	5.79764061366822	5.9709274088082	6.25973873404151	7.01064817964812	7.06841044469478	6.02868967385486	6.49078779422816	5.79764061366822	6.02868967385486	6.60631232432149	6.77959911946147	5.79764061366822	6.60631232432149	6.4330255291815	5.91316514376154	5.91316514376154	6.14421420394819	NA	NA	7.06841044469478	6.25973873404151	NA	NA	NA	NA	NA	20.65	210.37	38.311	15.317	33	0.450144809362632	-6.85896511481271	13.4287140596289	46.2508010352385	40.3204849051326	26.58090375	1.15960685185185	0.434889212990005	0.882843761782247	0.304918907044456	-0.922787367331517	-3.01289362606248
"3"	"wp2"	17	36.235	14.265	6.02868967385486	6.02868967385486	6.72183685441481	6.25973873404151	6.02868967385486	6.31750099908817	5.79764061366822	6.08645193890153	5.85540287871488	6.31750099908817	6.08645193890153	5.91316514376154	NA	5.9709274088082	5.9709274088082	7.01064817964812	NA	6.08645193890153	6.31750099908817	5.9709274088082	5.9709274088082	NA	6.66407458936815	NA	NA	6.31750099908817	5.91316514376154	5.9709274088082	6.20197646899485	NA	NA	7.18393497478811	6.31750099908817	NA	NA	NA	NA	NA	20.977	213.62	37.884	19.437	27	0.40264085961432	-7.66704226204663	NA	NA	NA	30.841688	0.294479944444445	NA	NA	NA	NA	NA
"4"	"wp2"	18	35.655	14.229	6.02868967385486	6.02868967385486	6.14421420394819	6.66407458936815	5.91316514376154	7.24169723983477	6.20197646899485	6.02868967385486	6.14421420394819	6.37526326413484	6.02868967385486	5.9709274088082	5.9709274088082	5.9709274088082	6.02868967385486	6.95288591460146	7.01064817964812	6.02868967385486	6.02868967385486	6.37526326413484	6.08645193890153	NA	6.20197646899485	5.9709274088082	6.25973873404151	6.20197646899485	5.9709274088082	5.9709274088082	6.14421420394819	NA	NA	6.95288591460146	6.08645193890153	NA	NA	NA	NA	NA	21.486	209.01	38.076	14.935	31	0.406124497721891	-7.70848767022202	13.2676281270267	46.4979924797655	40.2343793932078	25.17139975	NA	0.531624303688344	0.831881025989949	0.268468697910363	-1.42726183064023	-3.02037091121585
"5"	"wp2"	20	34.392	14.8	6.02868967385486	6.02868967385486	6.66407458936815	6.49078779422816	5.73987834862155	6.54855005927482	5.79764061366822	5.9709274088082	6.20197646899485	6.20197646899485	6.02868967385486	5.91316514376154	NA	6.08645193890153	6.25973873404151	NA	7.41498403497476	5.9709274088082	6.60631232432149	NA	6.31750099908817	7.01064817964812	6.25973873404151	NA	NA	6.4330255291815	5.91316514376154	6.08645193890153	6.02868967385486	6.72183685441481	NA	NA	6.49078779422816	NA	NA	NA	NA	NA	21.477	237.74	38.607	18.414	63	0.53014591923809	NA	NA	NA	NA	26.108534	NA	NA	NA	NA	NA	NA
"6"	"wp2"	21	37.459	17.238	6.08645193890153	6.08645193890153	6.95288591460146	6.54855005927482	5.85540287871488	6.20197646899485	5.79764061366822	5.9709274088082	6.02868967385486	6.37526326413484	6.08645193890153	5.9709274088082	NA	6.02868967385486	5.85540287871488	7.12617270974144	7.41498403497476	6.08645193890153	6.60631232432149	5.91316514376154	6.14421420394819	NA	7.35722176992809	NA	6.89512364955479	6.49078779422816	5.9709274088082	6.02868967385486	6.25973873404151	NA	NA	7.18393497478811	6.25973873404151	NA	NA	NA	NA	NA	19.535	211.01	38.434	12.946	50	0.485503780919128	-7.17041958845863	12.7795533782845	59.6990996633849	27.5213469583307	22.9114843333333	0.223953762711864	0.50787530781327	0.941850887635974	0.0831551749420383	-0.990720849671623	-3.59379756006552
"7"	"wp2"	22	39.753	17.37	6.02868967385486	6.02868967385486	6.89512364955479	6.37526326413484	6.25973873404151	6.54855005927482	5.85540287871488	5.79764061366822	6.02868967385486	6.02868967385486	6.02868967385486	5.73987834862155	6.02868967385486	5.91316514376154	5.9709274088082	6.72183685441481	7.01064817964812	6.02868967385486	6.31750099908817	6.02868967385486	6.02868967385486	NA	6.66407458936815	6.02868967385486	6.37526326413484	6.25973873404151	5.73987834862155	5.85540287871488	6.31750099908817	NA	NA	NA	5.9709274088082	NA	NA	NA	NA	NA	17.239	222.76	38.012	9.9028	12	0.623648278666661	-6.01863021518075	24.0577684665088	54.3995745795232	21.542656953968	20.25149025	1.56001031410256	0.644530034432969	1.24638242953577	0.228995832277545	0.666956544143178	-2.94455864987648
"8"	"wp2"	23	42.176	17.644	5.91316514376154	5.91316514376154	6.89512364955479	6.20197646899485	5.9709274088082	6.66407458936815	5.85540287871488	5.91316514376154	6.08645193890153	6.14421420394819	5.91316514376154	5.73987834862155	6.08645193890153	5.91316514376154	6.4330255291815	7.01064817964812	6.83736138450813	5.91316514376154	6.4330255291815	5.73987834862155	5.62435381852823	7.41498403497476	6.83736138450813	6.08645193890153	NA	6.08645193890153	5.73987834862155	5.91316514376154	6.08645193890153	NA	NA	NA	6.25973873404151	NA	NA	NA	NA	NA	16.884	222.58	38.38	7.8062	16	0.504702304693398	-6.56771797619643	NA	NA	NA	16.470955	3.36832355319149	0.75297583127554	1.11918813400043	0.234124299834403	NA	NA
"9"	"wp2"	24	42.412	17.863	5.9709274088082	5.91316514376154	6.95288591460146	6.89512364955479	6.02868967385486	6.89512364955479	5.73987834862155	5.79764061366822	6.14421420394819	6.25973873404151	5.9709274088082	5.73987834862155	NA	5.91316514376154	6.31750099908817	6.49078779422816	7.18393497478811	5.9709274088082	5.85540287871488	5.73987834862155	5.9709274088082	NA	6.25973873404151	NA	6.95288591460146	6.25973873404151	5.73987834862155	5.85540287871488	6.25973873404151	NA	NA	6.4330255291815	6.08645193890153	NA	NA	NA	NA	NA	17.793	220.09	38.33	7.9219	10	0.528229526012156	-6.28021385552019	NA	NA	NA	18.0304366666667	1.59747933333333	NA	NA	NA	NA	NA
"10"	"wp2"	25	39.35	19.352	6.02868967385486	6.02868967385486	6.60631232432149	6.95288591460146	5.9709274088082	6.60631232432149	5.85540287871488	6.31750099908817	5.91316514376154	6.37526326413484	6.02868967385486	5.91316514376154	5.9709274088082	6.02868967385486	6.14421420394819	6.60631232432149	6.72183685441481	5.9709274088082	6.14421420394819	5.91316514376154	6.20197646899485	6.31750099908817	6.89512364955479	5.9709274088082	NA	6.31750099908817	5.91316514376154	5.85540287871488	6.4330255291815	NA	7.29945950488143	7.24169723983477	6.66407458936815	NA	NA	NA	NA	NA	18.194	217.85	38.359	10.151	32	0.503745210092646	-7.24883812816103	NA	NA	NA	19.4737988	0.334140238410596	0.888696066392538	1.12349593242139	0.340564230384454	NA	NA
